Actual	sgRNAscorer.Hg	sgRNAscorer.Mm	WU.CRISPR	Combined	State	DNase	H2A.Z	H2AK5ac	H2AK9ac	H2BK120ac	H2BK12ac	H2BK15ac	H2BK20ac	H2BK5ac	H3K14ac	H3K18ac	H3K23ac	H3K23me2	H3K27ac	H3K27me3	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K56ac	H3K79me1	H3K79me2	H3K9ac	H3K9me1	H3K9me3	H3T11ph	H4K12ac	H4K20me1	H4K5ac	H4K8ac	H4K91ac	Class
TRA2B_s_58632	0.938987166	63.8177501642	64.6404306887	0	43.8177501642	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
RPS18_s_48283	0.931454137	71.5346533741	72.3420124118	53	62.26732668705	9_TxReg	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1
EIF4G1_s_17873	0.928927731	98.5194247156	98.6702289149	0	78.5194247156	10_TxEnh5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
SNRPA_s_52824	0.923157593	90.0522788051	90.6296020197	78	84.02613940255	3_PromD1	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1
GTF2A1_s_24377	0.920002719	2.0862484141	1.95859032706	0	-17.9137515859	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
RFC3_s_46880	0.912156216	87.0951840008	87.7354094257	76	81.5475920004	1_TssA	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1
POLR3C_s_43111	0.911212409	29.1061574249	29.6065920126	0	9.1061574249	12_TxEnhW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
RFC2_s_46875	0.899575309	34.7358535854	35.3265390178	62	48.3679267927	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
MRPL13_s_34651	0.890827271	58.9080259525	59.699018309	0	38.9080259525	12_TxEnhW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
PSMB2_s_44713	0.89025552	38.4483161019	39.0776171661	0	18.4483161019	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
XAB2_s_62211	0.889142664	82.7398459326	83.4637475154	53	67.8699229663	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
POLR3B_s_43105	0.882598695	94.226139845	94.648141415	73	83.6130699225	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FZR1_s_21894	0.881627415	25.8658227727	26.2955154152	0	5.8658227727	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACIN1_s_621	0.881210101	33.8414100197	34.4069215108	0	13.8414100197	9_TxReg	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	1	1	1
HNRNPA1L2_s_25716	0.88053882	71.2372552208	72.0363267387	78	74.6186276104	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WDR61_s_61794	0.876758693	65.4837845003	66.2904090709	73	69.24189225015	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CCND1_s_10032	0.873355204	59.0013085371	59.7962071127	52	55.50065426855	9_TxReg	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
RPL7A_s_48204	0.870518985	71.3060926064	72.1078375071	0	51.3060926064	9_TxReg	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	1
TRA2B_s_58634	0.867121685	32.404231416	32.9322268124	0	12.404231416	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
POLD3_s_42978	0.865997775	66.3316605148	67.1220921088	0	46.3316605148	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PSMB3_s_44717	0.865852106	37.6866435193	38.3068005826	0	17.6866435193	3_PromD1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
FEN1_s_20796	0.865223343	49.9700795188	50.714997948	0	29.9700795188	10_TxEnh5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1
SRSF6_s_53966	0.859805464	73.7114190788	74.4939561513	0	53.7114190788	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
PSMB5_s_44724	0.855402739	50.7120447727	51.4582344192	0	30.7120447727	11_TxEnh3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
RPL28_s_48156	0.853597763	20.3007238802	20.5817501593	0	0.3007238802	9_TxReg	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1
PARN_s_40280	0.844741427	71.8986766778	72.7089669017	27	49.4493383389	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PSMD7_s_44807	0.839630092	22.057902307	22.3927100716	0	2.057902307	3_PromD1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1
POLR1E_s_43050	0.831730205	72.0579207422	72.8669855815	62	67.0289603711	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PSMC4_s_44761	0.830221302	12.0326053973	12.0852832668	0	-7.9673946027	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1
RPL28_s_48153	0.82108619	69.9347280002	70.734977069	0	49.9347280002	9_TxReg	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1
TBPL1_s_55662	0.81975931	13.510120423	13.6048230813	0	-6.489879577	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPL14_s_48124	0.81770737	92.1343608428	92.6398410449	0	72.1343608428	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1
PSMB9_s_44745	0.812414995	95.1919464315	95.5619063783	0	75.1919464315	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FARSB_s_20324	0.790410678	7.12022650339	7.03069732327	0	-12.87977349661	3_PromD1	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	1	1
RPS8_s_48375	0.789865063	21.091561097	21.3963876637	0	1.091561097	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1
LSM5_s_31959	0.788021144	6.50795353864	6.40703563541	0	-13.49204646136	5_Tx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ESPL1_s_18742	0.787799699	20.6878281713	20.9748947822	0	0.687828171300001	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1
RPA3_s_48051	0.785910474	82.6927621932	83.4161224411	0	62.6927621932	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
VARS_s_61112	0.783938969	33.1142114359	33.6600637781	0	13.1142114359	12_TxEnhW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
SARS_s_49052	0.78120176	65.7559631722	66.556041398	0	45.7559631722	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TARS_s_55391	0.78112204	21.7463458483	22.0759411439	75	48.37317292415	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPA2_s_48049	0.777052598	75.2461941259	76.0188729903	66	70.62309706295	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MAD2L2_s_32327	0.773692862	87.8491137601	88.4707083846	75	81.42455688005	3_PromD1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1
PRPF38B_s_44316	0.773561461	67.8383770453	68.6523859723	52	59.91918852265	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
ANAPC2_s_2321	0.772935546	64.3824969425	65.2094808282	46	55.19124847125	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SNRPB_s_52831	0.769698386	10.2536733244	10.2523397372	0	-9.7463266756	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
RPS23_s_48296	0.768204532	62.3876875837	63.1979981374	0	42.3876875837	11_TxEnh3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ANAPC11_s_2307	0.765421134	49.4769354201	50.2140567858	0	29.4769354201	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
POLR3B_s_43108	0.762669442	91.6903652363	92.2165558219	0	71.6903652363	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORC5_s_39591	0.752353029	35.8465431428	36.4345352751	64	49.9232715714	3_PromD1	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
AARS2_s_76	0.751036116	39.1445065222	39.7907861941	62	50.5722532611	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1
POLR1D_s_43042	0.74865162	86.4502805667	87.1024202463	64	75.22514028335	12_TxEnhW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1
DARS_s_14983	0.744747063	60.9822176847	61.7839138447	47	53.99110884235	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNASEH1_s_47470	0.733877454	36.0359473473	36.6293884019	0	16.0359473473	12_TxEnhW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
MCM7_s_33184	0.732464553	30.7296799744	31.2441337394	0	10.7296799744	10_TxEnh5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1
CNOT3_s_12686	0.729070479	99.1620421733	99.2513499258	0	79.1620421733	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
TAF9_s_55301	0.726034855	91.2148821487	91.7533269882	0	71.2148821487	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPS21_s_48294	0.724518217	65.5158987814	66.3218299148	53	59.2579493907	9_TxReg	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1
POLR2B_s_43058	0.723935376	25.3754070974	25.7965860649	0	5.3754070974	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANAPC5_s_2326	0.722780277	98.557585773	98.7035152572	83	90.7787928865	11_TxEnh3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
POLD4_s_42981	0.721023714	77.8527971318	78.6054778346	47	62.4263985659	3_PromD1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1
POLR3H_s_43130	0.720026845	94.4204847081	94.8303018376	85	89.71024235405	12_TxEnhW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
YARS_s_62377	0.718966933	16.6744647958	16.8525093147	0	-3.3255352042	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
PCNA_s_40750	0.7154438	31.6976434902	32.2208501259	0	11.6976434902	9_TxReg	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	1
SNRPD3_s_52843	0.715365808	47.1674724733	47.9028141225	0	27.1674724733	12_TxEnhW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1
SF3A3_s_50176	0.715180576	87.1912318795	87.830257212	46	66.59561593975	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RFC5_s_46887	0.714506082	51.6030778091	52.3678294452	35	43.30153890455	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SNRNP40_s_52813	0.711122478	66.7870122621	67.5911003294	71	68.89350613105	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SHFM1_s_50567	0.698849887	38.0998153152	38.726354809	0	18.0998153152	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DHX15_s_15894	0.696835411	47.3892859237	48.126125243	0	27.3892859237	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
LARS2_s_30547	0.695898533	19.5919605898	19.8588878558	41	30.2959802949	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
POLR3B_s_43107	0.680255363	89.286992905	89.8831832278	0	69.286992905	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TAF5_s_55273	0.678383441	45.6019473569	46.3040820761	0	25.6019473569	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANAPC13_s_2311	0.678145808	86.1769957772	86.8323253546	0	66.1769957772	10_TxEnh5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
POLE2_s_42995	0.669864051	78.1761153076	78.9272214244	60	69.0880576538	3_PromD1	1	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1
MCM7_s_33183	0.669499449	77.5848585773	78.3455151592	62	69.79242928865	12_TxEnhW	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1
WEE1_s_61916	0.666285395	91.4257450347	91.9561907841	50	70.71287251735	3_PromD1	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
RPL38_s_48188	0.663748939	76.729018516	77.4856301763	0	56.729018516	3_PromD1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
PLRG1_s_42638	0.663332115	60.2324543017	61.0281309829	64	62.11622715085	12_TxEnhW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
EIF2S1_s_17793	0.663151011	52.6765649444	53.4529276252	0	32.6765649444	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CCNH_s_10069	0.662715548	13.6365865358	13.7406386735	0	-6.3634134642	12_TxEnhW	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
PSMC6_s_44766	0.662063186	15.8985970373	16.0591238596	57	36.44929851865	3_PromD1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1
CHEK1_s_11628	0.659584341	72.6203446736	73.4202704314	0	52.6203446736	3_PromD1	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1
SRSF4_s_53957	0.652230895	50.534125756	51.2770616134	0	30.534125756	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CDC16_s_10586	0.649488719	87.9752849082	88.5961722901	60	73.9876424541	11_TxEnh3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPS5_s_48326	0.645921347	41.7007811771	42.3599065641	0	21.7007811771	11_TxEnh3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
SART1_s_49058	0.638771722	86.155684578	86.8112561973	0	66.155684578	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CREBBP_s_13566	0.634228955	13.6167501601	13.7206302897	0	-6.3832498399	12_TxEnhW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
